"sex" "age" "period" "region" "outcome" "cases" "pop" "casosPred" "casosO" "PredHasta" "mod"
"37" 1 1 4 1 "Incidence" NA 482127 36 38 "1995_1996" 7
"38" 2 1 4 1 "Incidence" NA 469706 30 23 "1995_1996" 7
"39" 1 2 4 1 "Incidence" NA 118424 12 16 "1995_1996" 7
"40" 2 2 4 1 "Incidence" NA 122952 10 10 "1995_1996" 7
"41" 1 3 4 1 "Incidence" NA 98670 13 15 "1995_1996" 7
"42" 2 3 4 1 "Incidence" NA 105979 12 15 "1995_1996" 7
"43" 1 4 4 1 "Incidence" NA 97555 17 24 "1995_1996" 7
"44" 2 4 4 1 "Incidence" NA 108715 16 22 "1995_1996" 7
"45" 1 5 4 1 "Incidence" NA 48445 12 19 "1995_1996" 7
"46" 2 5 4 1 "Incidence" NA 70516 15 29 "1995_1996" 7
"47" 1 6 4 1 "Incidence" NA 16418 6 8 "1995_1996" 7
"48" 2 6 4 1 "Incidence" NA 39939 12 11 "1995_1996" 7
"157" 1 1 4 2 "Incidence" NA 59666 15 18 "1995_1996" 7
"158" 2 1 4 2 "Incidence" NA 57822 15 19 "1995_1996" 7
"159" 1 2 4 2 "Incidence" NA 15688 5 6 "1995_1996" 7
"160" 2 2 4 2 "Incidence" NA 14561 5 5 "1995_1996" 7
"161" 1 3 4 2 "Incidence" NA 12132 6 5 "1995_1996" 7
"162" 2 3 4 2 "Incidence" NA 11589 6 4 "1995_1996" 7
"163" 1 4 4 2 "Incidence" NA 12353 8 6 "1995_1996" 7
"164" 2 4 4 2 "Incidence" NA 12533 8 8 "1995_1996" 7
"165" 1 5 4 2 "Incidence" NA 7189 7 8 "1995_1996" 7
"166" 2 5 4 2 "Incidence" NA 9761 9 8 "1995_1996" 7
"167" 1 6 4 2 "Incidence" NA 2557 4 5 "1995_1996" 7
"168" 2 6 4 2 "Incidence" NA 5496 7 4 "1995_1996" 7
"277" 1 1 4 3 "Incidence" NA 76029 16 20 "1995_1996" 7
"278" 2 1 4 3 "Incidence" NA 72782 17 17 "1995_1996" 7
"279" 1 2 4 3 "Incidence" NA 19528 6 4 "1995_1996" 7
"280" 2 2 4 3 "Incidence" NA 18296 6 5 "1995_1996" 7
"281" 1 3 4 3 "Incidence" NA 15870 6 6 "1995_1996" 7
"282" 2 3 4 3 "Incidence" NA 15061 6 5 "1995_1996" 7
"283" 1 4 4 3 "Incidence" NA 14941 8 6 "1995_1996" 7
"284" 2 4 4 3 "Incidence" NA 14968 8 6 "1995_1996" 7
"285" 1 5 4 3 "Incidence" NA 8001 6 7 "1995_1996" 7
"286" 2 5 4 3 "Incidence" NA 10441 8 5 "1995_1996" 7
"287" 1 6 4 3 "Incidence" NA 2709 3 4 "1995_1996" 7
"288" 2 6 4 3 "Incidence" NA 5838 7 5 "1995_1996" 7
"397" 1 1 4 4 "Incidence" NA 101498 18 18 "1995_1996" 7
"398" 2 1 4 4 "Incidence" NA 95667 17 17 "1995_1996" 7
"399" 1 2 4 4 "Incidence" NA 27087 6 5 "1995_1996" 7
"400" 2 2 4 4 "Incidence" NA 24800 6 6 "1995_1996" 7
"401" 1 3 4 4 "Incidence" NA 21432 7 6 "1995_1996" 7
"402" 2 3 4 4 "Incidence" NA 20334 7 4 "1995_1996" 7
"403" 1 4 4 4 "Incidence" NA 20001 8 11 "1995_1996" 7
"404" 2 4 4 4 "Incidence" NA 21100 9 9 "1995_1996" 7
"405" 1 5 4 4 "Incidence" NA 11044 7 8 "1995_1996" 7
"406" 2 5 4 4 "Incidence" NA 14568 9 7 "1995_1996" 7
"407" 1 6 4 4 "Incidence" NA 3954 4 7 "1995_1996" 7
