"sex" "age" "period" "region" "outcome" "cases" "pop" "casosPred" "casosO" "PredHasta" "mod"
"37" 1 1 4 1 "Incidence" NA 482127 33 38 "1995_1996" 4
"38" 2 1 4 1 "Incidence" NA 469706 32 23 "1995_1996" 4
"39" 1 2 4 1 "Incidence" NA 118424 10 16 "1995_1996" 4
"40" 2 2 4 1 "Incidence" NA 122952 11 10 "1995_1996" 4
"41" 1 3 4 1 "Incidence" NA 98670 13 15 "1995_1996" 4
"42" 2 3 4 1 "Incidence" NA 105979 13 15 "1995_1996" 4
"43" 1 4 4 1 "Incidence" NA 97555 17 24 "1995_1996" 4
"44" 2 4 4 1 "Incidence" NA 108715 16 22 "1995_1996" 4
"45" 1 5 4 1 "Incidence" NA 48445 13 19 "1995_1996" 4
"46" 2 5 4 1 "Incidence" NA 70516 14 29 "1995_1996" 4
"47" 1 6 4 1 "Incidence" NA 16418 7 8 "1995_1996" 4
"48" 2 6 4 1 "Incidence" NA 39939 11 11 "1995_1996" 4
"157" 1 1 4 2 "Incidence" NA 59666 14 18 "1995_1996" 4
"158" 2 1 4 2 "Incidence" NA 57822 16 19 "1995_1996" 4
"159" 1 2 4 2 "Incidence" NA 15688 5 6 "1995_1996" 4
"160" 2 2 4 2 "Incidence" NA 14561 6 5 "1995_1996" 4
"161" 1 3 4 2 "Incidence" NA 12132 6 5 "1995_1996" 4
"162" 2 3 4 2 "Incidence" NA 11589 6 4 "1995_1996" 4
"163" 1 4 4 2 "Incidence" NA 12353 7 6 "1995_1996" 4
"164" 2 4 4 2 "Incidence" NA 12533 8 8 "1995_1996" 4
"165" 1 5 4 2 "Incidence" NA 7189 7 8 "1995_1996" 4
"166" 2 5 4 2 "Incidence" NA 9761 8 8 "1995_1996" 4
"167" 1 6 4 2 "Incidence" NA 2557 4 5 "1995_1996" 4
"168" 2 6 4 2 "Incidence" NA 5496 6 4 "1995_1996" 4
"277" 1 1 4 3 "Incidence" NA 76029 15 20 "1995_1996" 4
"278" 2 1 4 3 "Incidence" NA 72782 18 17 "1995_1996" 4
"279" 1 2 4 3 "Incidence" NA 19528 5 4 "1995_1996" 4
"280" 2 2 4 3 "Incidence" NA 18296 6 5 "1995_1996" 4
"281" 1 3 4 3 "Incidence" NA 15870 6 6 "1995_1996" 4
"282" 2 3 4 3 "Incidence" NA 15061 7 5 "1995_1996" 4
"283" 1 4 4 3 "Incidence" NA 14941 8 6 "1995_1996" 4
"284" 2 4 4 3 "Incidence" NA 14968 8 6 "1995_1996" 4
"285" 1 5 4 3 "Incidence" NA 8001 6 7 "1995_1996" 4
"286" 2 5 4 3 "Incidence" NA 10441 8 5 "1995_1996" 4
"287" 1 6 4 3 "Incidence" NA 2709 4 4 "1995_1996" 4
"288" 2 6 4 3 "Incidence" NA 5838 6 5 "1995_1996" 4
"397" 1 1 4 4 "Incidence" NA 101498 16 18 "1995_1996" 4
"398" 2 1 4 4 "Incidence" NA 95667 18 17 "1995_1996" 4
"399" 1 2 4 4 "Incidence" NA 27087 6 5 "1995_1996" 4
"400" 2 2 4 4 "Incidence" NA 24800 7 6 "1995_1996" 4
"401" 1 3 4 4 "Incidence" NA 21432 7 6 "1995_1996" 4
"402" 2 3 4 4 "Incidence" NA 20334 7 4 "1995_1996" 4
"403" 1 4 4 4 "Incidence" NA 20001 8 11 "1995_1996" 4
