"sex" "age" "period" "region" "outcome" "cases" "pop" "casosPred" "casosO" "PredHasta" "mod"
"37" 1 1 4 1 "Incidence" NA 482127 36 38 "1995_1996" 1
"38" 2 1 4 1 "Incidence" NA 469706 30 23 "1995_1996" 1
"39" 1 2 4 1 "Incidence" NA 118424 11 16 "1995_1996" 1
"40" 2 2 4 1 "Incidence" NA 122952 10 10 "1995_1996" 1
"41" 1 3 4 1 "Incidence" NA 98670 13 15 "1995_1996" 1
"42" 2 3 4 1 "Incidence" NA 105979 12 15 "1995_1996" 1
"43" 1 4 4 1 "Incidence" NA 97555 17 24 "1995_1996" 1
"44" 2 4 4 1 "Incidence" NA 108715 16 22 "1995_1996" 1
"45" 1 5 4 1 "Incidence" NA 48445 12 19 "1995_1996" 1
"46" 2 5 4 1 "Incidence" NA 70516 15 29 "1995_1996" 1
"47" 1 6 4 1 "Incidence" NA 16418 6 8 "1995_1996" 1
"48" 2 6 4 1 "Incidence" NA 39939 12 11 "1995_1996" 1
"157" 1 1 4 2 "Incidence" NA 59666 15 18 "1995_1996" 1
"158" 2 1 4 2 "Incidence" NA 57822 15 19 "1995_1996" 1
"159" 1 2 4 2 "Incidence" NA 15688 5 6 "1995_1996" 1
"160" 2 2 4 2 "Incidence" NA 14561 5 5 "1995_1996" 1
"161" 1 3 4 2 "Incidence" NA 12132 6 5 "1995_1996" 1
"162" 2 3 4 2 "Incidence" NA 11589 6 4 "1995_1996" 1
"163" 1 4 4 2 "Incidence" NA 12353 8 6 "1995_1996" 1
"164" 2 4 4 2 "Incidence" NA 12533 8 8 "1995_1996" 1
"165" 1 5 4 2 "Incidence" NA 7189 6 8 "1995_1996" 1
"166" 2 5 4 2 "Incidence" NA 9761 9 8 "1995_1996" 1
"167" 1 6 4 2 "Incidence" NA 2557 3 5 "1995_1996" 1
"168" 2 6 4 2 "Incidence" NA 5496 7 4 "1995_1996" 1
"277" 1 1 4 3 "Incidence" NA 76029 16 20 "1995_1996" 1
"278" 2 1 4 3 "Incidence" NA 72782 17 17 "1995_1996" 1
"279" 1 2 4 3 "Incidence" NA 19528 6 4 "1995_1996" 1
"280" 2 2 4 3 "Incidence" NA 18296 6 5 "1995_1996" 1
"281" 1 3 4 3 "Incidence" NA 15870 6 6 "1995_1996" 1
"282" 2 3 4 3 "Incidence" NA 15061 6 5 "1995_1996" 1
"283" 1 4 4 3 "Incidence" NA 14941 8 6 "1995_1996" 1
"284" 2 4 4 3 "Incidence" NA 14968 8 6 "1995_1996" 1
"285" 1 5 4 3 "Incidence" NA 8001 6 7 "1995_1996" 1
"286" 2 5 4 3 "Incidence" NA 10441 8 5 "1995_1996" 1
"287" 1 6 4 3 "Incidence" NA 2709 3 4 "1995_1996" 1
"288" 2 6 4 3 "Incidence" NA 5838 7 5 "1995_1996" 1
"397" 1 1 4 4 "Incidence" NA 101498 17 18 "1995_1996" 1
"398" 2 1 4 4 "Incidence" NA 95667 17 17 "1995_1996" 1
"399" 1 2 4 4 "Incidence" NA 27087 6 5 "1995_1996" 1
"400" 2 2 4 4 "Incidence" NA 24800 6 6 "1995_1996" 1
"401" 1 3 4 4 "Incidence" NA 21432 7 6 "1995_1996" 1
"402" 2 3 4 4 "Incidence" NA 20334 7 4 "1995_1996" 1
"403" 1 4 4 4 "Incidence" NA 20001 8 11 "1995_1996" 1
"404" 2 4 4 4 "Incidence" NA 21100 9 9 "1995_1996" 1
"405" 1 5 4 4 "Incidence" NA 11044 7 8 "1995_1996" 1
"406" 2 5 4 4 "Incidence" NA 14568 9 7 "1995_1996" 1
"407" 1 6 4 4 "Incidence" NA 3954 4 7 "1995_1996" 1
"408" 2 6 4 4 "Incidence" NA 8417 7 7 "1995_1996" 1
"517" 1 1 4 5 "Incidence" NA 60417 15 20 "1995_1996" 1
"518" 2 1 4 5 "Incidence" NA 56335 15 20 "1995_1996" 1
"519" 1 2 4 5 "Incidence" NA 15944 5 6 "1995_1996" 1
"520" 2 2 4 5 "Incidence" NA 14400 5 4 "1995_1996" 1
"521" 1 3 4 5 "Incidence" NA 12831 6 7 "1995_1996" 1
"522" 2 3 4 5 "Incidence" NA 12148 6 6 "1995_1996" 1
"523" 1 4 4 5 "Incidence" NA 12348 7 7 "1995_1996" 1
"524" 2 4 4 5 "Incidence" NA 12230 8 7 "1995_1996" 1
"525" 1 5 4 5 "Incidence" NA 6251 5 4 "1995_1996" 1
"526" 2 5 4 5 "Incidence" NA 8191 8 5 "1995_1996" 1
"527" 1 6 4 5 "Incidence" NA 2292 3 7 "1995_1996" 1
"528" 2 6 4 5 "Incidence" NA 4886 7 5 "1995_1996" 1
"637" 1 1 4 6 "Incidence" NA 208700 25 23 "1995_1996" 1
"638" 2 1 4 6 "Incidence" NA 202324 20 18 "1995_1996" 1
"639" 1 2 4 6 "Incidence" NA 52686 8 6 "1995_1996" 1
"640" 2 2 4 6 "Incidence" NA 54836 7 6 "1995_1996" 1
"641" 1 3 4 6 "Incidence" NA 42970 9 15 "1995_1996" 1
"642" 2 3 4 6 "Incidence" NA 45241 8 10 "1995_1996" 1
"643" 1 4 4 6 "Incidence" NA 36882 10 13 "1995_1996" 1
"644" 2 4 4 6 "Incidence" NA 43136 10 14 "1995_1996" 1
"645" 1 5 4 6 "Incidence" NA 19876 8 13 "1995_1996" 1
"646" 2 5 4 6 "Incidence" NA 31213 11 12 "1995_1996" 1
"647" 1 6 4 6 "Incidence" NA 7509 5 8 "1995_1996" 1
"648" 2 6 4 6 "Incidence" NA 18946 9 6 "1995_1996" 1
"757" 1 1 4 7 "Incidence" NA 159814 23 22 "1995_1996" 1
"758" 2 1 4 7 "Incidence" NA 156239 21 20 "1995_1996" 1
"759" 1 2 4 7 "Incidence" NA 41496 8 7 "1995_1996" 1
"760" 2 2 4 7 "Incidence" NA 40321 7 5 "1995_1996" 1
"761" 1 3 4 7 "Incidence" NA 33421 9 8 "1995_1996" 1
"762" 2 3 4 7 "Incidence" NA 31031 8 7 "1995_1996" 1
"763" 1 4 4 7 "Incidence" NA 27659 9 9 "1995_1996" 1
"764" 2 4 4 7 "Incidence" NA 28057 9 8 "1995_1996" 1
"765" 1 5 4 7 "Incidence" NA 14481 7 12 "1995_1996" 1
"766" 2 5 4 7 "Incidence" NA 19506 9 5 "1995_1996" 1
"767" 1 6 4 7 "Incidence" NA 5969 4 4 "1995_1996" 1
"768" 2 6 4 7 "Incidence" NA 11786 8 6 "1995_1996" 1
"877" 1 1 4 8 "Incidence" NA 33316 11 18 "1995_1996" 1
"878" 2 1 4 8 "Incidence" NA 29936 11 16 "1995_1996" 1
"879" 1 2 4 8 "Incidence" NA 8905 4 7 "1995_1996" 1
"880" 2 2 4 8 "Incidence" NA 7663 4 4 "1995_1996" 1
"881" 1 3 4 8 "Incidence" NA 7303 5 8 "1995_1996" 1
"882" 2 3 4 8 "Incidence" NA 6631 5 5 "1995_1996" 1
"883" 1 4 4 8 "Incidence" NA 8212 7 5 "1995_1996" 1
"884" 2 4 4 8 "Incidence" NA 8448 8 4 "1995_1996" 1
