"sex" "age" "period" "region" "outcome" "cases" "pop" "casosPred" "casosO" "PredHasta" "mod"
"37" 1 1 4 1 "Incidence" NA 482127 37 38 "1995_1996" 3
"38" 2 1 4 1 "Incidence" NA 469706 31 23 "1995_1996" 3
"39" 1 2 4 1 "Incidence" NA 118424 11 16 "1995_1996" 3
"40" 2 2 4 1 "Incidence" NA 122952 10 10 "1995_1996" 3
"41" 1 3 4 1 "Incidence" NA 98670 13 15 "1995_1996" 3
"42" 2 3 4 1 "Incidence" NA 105979 12 15 "1995_1996" 3
"43" 1 4 4 1 "Incidence" NA 97555 17 24 "1995_1996" 3
"44" 2 4 4 1 "Incidence" NA 108715 17 22 "1995_1996" 3
"45" 1 5 4 1 "Incidence" NA 48445 12 19 "1995_1996" 3
"46" 2 5 4 1 "Incidence" NA 70516 15 29 "1995_1996" 3
"47" 1 6 4 1 "Incidence" NA 16418 6 8 "1995_1996" 3
"48" 2 6 4 1 "Incidence" NA 39939 12 11 "1995_1996" 3
"157" 1 1 4 2 "Incidence" NA 59666 16 18 "1995_1996" 3
"158" 2 1 4 2 "Incidence" NA 57822 15 19 "1995_1996" 3
"159" 1 2 4 2 "Incidence" NA 15688 5 6 "1995_1996" 3
"160" 2 2 4 2 "Incidence" NA 14561 5 5 "1995_1996" 3
"161" 1 3 4 2 "Incidence" NA 12132 6 5 "1995_1996" 3
"162" 2 3 4 2 "Incidence" NA 11589 6 4 "1995_1996" 3
"163" 1 4 4 2 "Incidence" NA 12353 8 6 "1995_1996" 3
"164" 2 4 4 2 "Incidence" NA 12533 8 8 "1995_1996" 3
"165" 1 5 4 2 "Incidence" NA 7189 7 8 "1995_1996" 3
"166" 2 5 4 2 "Incidence" NA 9761 9 8 "1995_1996" 3
"167" 1 6 4 2 "Incidence" NA 2557 3 5 "1995_1996" 3
"168" 2 6 4 2 "Incidence" NA 5496 7 4 "1995_1996" 3
"277" 1 1 4 3 "Incidence" NA 76029 17 20 "1995_1996" 3
"278" 2 1 4 3 "Incidence" NA 72782 17 17 "1995_1996" 3
"279" 1 2 4 3 "Incidence" NA 19528 6 4 "1995_1996" 3
"280" 2 2 4 3 "Incidence" NA 18296 6 5 "1995_1996" 3
"281" 1 3 4 3 "Incidence" NA 15870 6 6 "1995_1996" 3
"282" 2 3 4 3 "Incidence" NA 15061 6 5 "1995_1996" 3
"283" 1 4 4 3 "Incidence" NA 14941 8 6 "1995_1996" 3
"284" 2 4 4 3 "Incidence" NA 14968 8 6 "1995_1996" 3
"285" 1 5 4 3 "Incidence" NA 8001 6 7 "1995_1996" 3
"286" 2 5 4 3 "Incidence" NA 10441 8 5 "1995_1996" 3
"287" 1 6 4 3 "Incidence" NA 2709 3 4 "1995_1996" 3
"288" 2 6 4 3 "Incidence" NA 5838 6 5 "1995_1996" 3
"397" 1 1 4 4 "Incidence" NA 101498 18 18 "1995_1996" 3
"398" 2 1 4 4 "Incidence" NA 95667 18 17 "1995_1996" 3
"399" 1 2 4 4 "Incidence" NA 27087 6 5 "1995_1996" 3
"400" 2 2 4 4 "Incidence" NA 24800 6 6 "1995_1996" 3
"401" 1 3 4 4 "Incidence" NA 21432 7 6 "1995_1996" 3
"402" 2 3 4 4 "Incidence" NA 20334 7 4 "1995_1996" 3
"403" 1 4 4 4 "Incidence" NA 20001 9 11 "1995_1996" 3
"404" 2 4 4 4 "Incidence" NA 21100 9 9 "1995_1996" 3
"405" 1 5 4 4 "Incidence" NA 11044 7 8 "1995_1996" 3
"406" 2 5 4 4 "Incidence" NA 14568 9 7 "1995_1996" 3
"407" 1 6 4 4 "Incidence" NA 3954 3 7 "1995_1996" 3
"408" 2 6 4 4 "Incidence" NA 8417 7 7 "1995_1996" 3
