"sex" "age" "period" "region" "outcome" "cases" "pop" "casosPred" "casosO" "PredHasta" "mod"
"37" 1 1 4 1 "Incidence" NA 482127 35 38 "1995_1996" 6
"38" 2 1 4 1 "Incidence" NA 469706 31 23 "1995_1996" 6
"39" 1 2 4 1 "Incidence" NA 118424 11 16 "1995_1996" 6
"40" 2 2 4 1 "Incidence" NA 122952 11 10 "1995_1996" 6
"41" 1 3 4 1 "Incidence" NA 98670 13 15 "1995_1996" 6
"42" 2 3 4 1 "Incidence" NA 105979 13 15 "1995_1996" 6
"43" 1 4 4 1 "Incidence" NA 97555 16 24 "1995_1996" 6
"44" 2 4 4 1 "Incidence" NA 108715 17 22 "1995_1996" 6
"45" 1 5 4 1 "Incidence" NA 48445 12 19 "1995_1996" 6
"46" 2 5 4 1 "Incidence" NA 70516 15 29 "1995_1996" 6
"47" 1 6 4 1 "Incidence" NA 16418 6 8 "1995_1996" 6
"48" 2 6 4 1 "Incidence" NA 39939 12 11 "1995_1996" 6
"157" 1 1 4 2 "Incidence" NA 59666 15 18 "1995_1996" 6
"158" 2 1 4 2 "Incidence" NA 57822 16 19 "1995_1996" 6
"159" 1 2 4 2 "Incidence" NA 15688 5 6 "1995_1996" 6
"160" 2 2 4 2 "Incidence" NA 14561 5 5 "1995_1996" 6
"161" 1 3 4 2 "Incidence" NA 12132 6 5 "1995_1996" 6
"162" 2 3 4 2 "Incidence" NA 11589 6 4 "1995_1996" 6
"163" 1 4 4 2 "Incidence" NA 12353 7 6 "1995_1996" 6
"164" 2 4 4 2 "Incidence" NA 12533 8 8 "1995_1996" 6
"165" 1 5 4 2 "Incidence" NA 7189 6 8 "1995_1996" 6
"166" 2 5 4 2 "Incidence" NA 9761 9 8 "1995_1996" 6
"167" 1 6 4 2 "Incidence" NA 2557 3 5 "1995_1996" 6
"168" 2 6 4 2 "Incidence" NA 5496 7 4 "1995_1996" 6
"277" 1 1 4 3 "Incidence" NA 76029 16 20 "1995_1996" 6
"278" 2 1 4 3 "Incidence" NA 72782 18 17 "1995_1996" 6
"279" 1 2 4 3 "Incidence" NA 19528 6 4 "1995_1996" 6
"280" 2 2 4 3 "Incidence" NA 18296 6 5 "1995_1996" 6
"281" 1 3 4 3 "Incidence" NA 15870 6 6 "1995_1996" 6
"282" 2 3 4 3 "Incidence" NA 15061 7 5 "1995_1996" 6
"283" 1 4 4 3 "Incidence" NA 14941 8 6 "1995_1996" 6
"284" 2 4 4 3 "Incidence" NA 14968 8 6 "1995_1996" 6
"285" 1 5 4 3 "Incidence" NA 8001 6 7 "1995_1996" 6
"286" 2 5 4 3 "Incidence" NA 10441 8 5 "1995_1996" 6
"287" 1 6 4 3 "Incidence" NA 2709 3 4 "1995_1996" 6
"288" 2 6 4 3 "Incidence" NA 5838 7 5 "1995_1996" 6
"397" 1 1 4 4 "Incidence" NA 101498 18 18 "1995_1996" 6
"398" 2 1 4 4 "Incidence" NA 95667 18 17 "1995_1996" 6
"399" 1 2 4 4 "Incidence" NA 27087 6 5 "1995_1996" 6
"400" 2 2 4 4 "Incidence" NA 24800 6 6 "1995_1996" 6
"401" 1 3 4 4 "Incidence" NA 21432 7 6 "1995_1996" 6
"402" 2 3 4 4 "Incidence" NA 20334 7 4 "1995_1996" 6
"403" 1 4 4 4 "Incidence" NA 20001 8 11 "1995_1996" 6
"404" 2 4 4 4 "Incidence" NA 21100 9 9 "1995_1996" 6
"405" 1 5 4 4 "Incidence" NA 11044 6 8 "1995_1996" 6
"406" 2 5 4 4 "Incidence" NA 14568 9 7 "1995_1996" 6
"407" 1 6 4 4 "Incidence" NA 3954 3 7 "1995_1996" 6
"408" 2 6 4 4 "Incidence" NA 8417 7 7 "1995_1996" 6
"517" 1 1 4 5 "Incidence" NA 60417 15 20 "1995_1996" 6
"518" 2 1 4 5 "Incidence" NA 56335 16 20 "1995_1996" 6
"519" 1 2 4 5 "Incidence" NA 15944 5 6 "1995_1996" 6
"520" 2 2 4 5 "Incidence" NA 14400 6 4 "1995_1996" 6
"521" 1 3 4 5 "Incidence" NA 12831 6 7 "1995_1996" 6
"522" 2 3 4 5 "Incidence" NA 12148 6 6 "1995_1996" 6
"523" 1 4 4 5 "Incidence" NA 12348 7 7 "1995_1996" 6
"524" 2 4 4 5 "Incidence" NA 12230 8 7 "1995_1996" 6
"525" 1 5 4 5 "Incidence" NA 6251 5 4 "1995_1996" 6
"526" 2 5 4 5 "Incidence" NA 8191 8 5 "1995_1996" 6
"527" 1 6 4 5 "Incidence" NA 2292 3 7 "1995_1996" 6
"528" 2 6 4 5 "Incidence" NA 4886 7 5 "1995_1996" 6
"637" 1 1 4 6 "Incidence" NA 208700 25 23 "1995_1996" 6
"638" 2 1 4 6 "Incidence" NA 202324 22 18 "1995_1996" 6
"639" 1 2 4 6 "Incidence" NA 52686 8 6 "1995_1996" 6
"640" 2 2 4 6 "Incidence" NA 54836 8 6 "1995_1996" 6
"641" 1 3 4 6 "Incidence" NA 42970 9 15 "1995_1996" 6
"642" 2 3 4 6 "Incidence" NA 45241 9 10 "1995_1996" 6
"643" 1 4 4 6 "Incidence" NA 36882 10 13 "1995_1996" 6
"644" 2 4 4 6 "Incidence" NA 43136 11 14 "1995_1996" 6
"645" 1 5 4 6 "Incidence" NA 19876 8 13 "1995_1996" 6
"646" 2 5 4 6 "Incidence" NA 31213 11 12 "1995_1996" 6
"647" 1 6 4 6 "Incidence" NA 7509 4 8 "1995_1996" 6
"648" 2 6 4 6 "Incidence" NA 18946 9 6 "1995_1996" 6
"757" 1 1 4 7 "Incidence" NA 159814 23 22 "1995_1996" 6
"758" 2 1 4 7 "Incidence" NA 156239 22 20 "1995_1996" 6
"759" 1 2 4 7 "Incidence" NA 41496 8 7 "1995_1996" 6
"760" 2 2 4 7 "Incidence" NA 40321 8 5 "1995_1996" 6
"761" 1 3 4 7 "Incidence" NA 33421 9 8 "1995_1996" 6
"762" 2 3 4 7 "Incidence" NA 31031 8 7 "1995_1996" 6
"763" 1 4 4 7 "Incidence" NA 27659 9 9 "1995_1996" 6
"764" 2 4 4 7 "Incidence" NA 28057 9 8 "1995_1996" 6
"765" 1 5 4 7 "Incidence" NA 14481 7 12 "1995_1996" 6
"766" 2 5 4 7 "Incidence" NA 19506 9 5 "1995_1996" 6
"767" 1 6 4 7 "Incidence" NA 5969 4 4 "1995_1996" 6
"768" 2 6 4 7 "Incidence" NA 11786 8 6 "1995_1996" 6
"877" 1 1 4 8 "Incidence" NA 33316 11 18 "1995_1996" 6
"878" 2 1 4 8 "Incidence" NA 29936 12 16 "1995_1996" 6
"879" 1 2 4 8 "Incidence" NA 8905 4 7 "1995_1996" 6
"880" 2 2 4 8 "Incidence" NA 7663 4 4 "1995_1996" 6
"881" 1 3 4 8 "Incidence" NA 7303 5 8 "1995_1996" 6
"882" 2 3 4 8 "Incidence" NA 6631 5 5 "1995_1996" 6
"883" 1 4 4 8 "Incidence" NA 8212 7 5 "1995_1996" 6
"884" 2 4 4 8 "Incidence" NA 8448 8 4 "1995_1996" 6
"885" 1 5 4 8 "Incidence" NA 5942 7 6 "1995_1996" 6
"886" 2 5 4 8 "Incidence" NA 7201 9 6 "1995_1996" 6
"887" 1 6 4 8 "Incidence" NA 2494 4 4 "1995_1996" 6
"888" 2 6 4 8 "Incidence" NA 4586 8 4 "1995_1996" 6
"997" 1 1 4 9 "Incidence" NA 65946 14 18 "1995_1996" 6
"998" 2 1 4 9 "Incidence" NA 63046 15 17 "1995_1996" 6
"999" 1 2 4 9 "Incidence" NA 16022 5 6 "1995_1996" 6
