"sex" "age" "period" "region" "outcome" "cases" "pop" "casosPred" "casosO" "PredHasta" "mod"
"37" 1 1 4 1 "Incidence" NA 482127 36 38 "1995_1996" 5
"38" 2 1 4 1 "Incidence" NA 469706 31 23 "1995_1996" 5
"39" 1 2 4 1 "Incidence" NA 118424 11 16 "1995_1996" 5
"40" 2 2 4 1 "Incidence" NA 122952 10 10 "1995_1996" 5
"41" 1 3 4 1 "Incidence" NA 98670 13 15 "1995_1996" 5
"42" 2 3 4 1 "Incidence" NA 105979 12 15 "1995_1996" 5
"43" 1 4 4 1 "Incidence" NA 97555 17 24 "1995_1996" 5
"44" 2 4 4 1 "Incidence" NA 108715 17 22 "1995_1996" 5
"45" 1 5 4 1 "Incidence" NA 48445 12 19 "1995_1996" 5
"46" 2 5 4 1 "Incidence" NA 70516 15 29 "1995_1996" 5
"47" 1 6 4 1 "Incidence" NA 16418 6 8 "1995_1996" 5
"48" 2 6 4 1 "Incidence" NA 39939 12 11 "1995_1996" 5
"157" 1 1 4 2 "Incidence" NA 59666 16 18 "1995_1996" 5
"158" 2 1 4 2 "Incidence" NA 57822 16 19 "1995_1996" 5
"159" 1 2 4 2 "Incidence" NA 15688 5 6 "1995_1996" 5
"160" 2 2 4 2 "Incidence" NA 14561 5 5 "1995_1996" 5
"161" 1 3 4 2 "Incidence" NA 12132 6 5 "1995_1996" 5
"162" 2 3 4 2 "Incidence" NA 11589 6 4 "1995_1996" 5
"163" 1 4 4 2 "Incidence" NA 12353 8 6 "1995_1996" 5
"164" 2 4 4 2 "Incidence" NA 12533 8 8 "1995_1996" 5
"165" 1 5 4 2 "Incidence" NA 7189 6 8 "1995_1996" 5
"166" 2 5 4 2 "Incidence" NA 9761 9 8 "1995_1996" 5
"167" 1 6 4 2 "Incidence" NA 2557 3 5 "1995_1996" 5
"168" 2 6 4 2 "Incidence" NA 5496 7 4 "1995_1996" 5
"277" 1 1 4 3 "Incidence" NA 76029 17 20 "1995_1996" 5
"278" 2 1 4 3 "Incidence" NA 72782 17 17 "1995_1996" 5
"279" 1 2 4 3 "Incidence" NA 19528 6 4 "1995_1996" 5
"280" 2 2 4 3 "Incidence" NA 18296 6 5 "1995_1996" 5
"281" 1 3 4 3 "Incidence" NA 15870 6 6 "1995_1996" 5
"282" 2 3 4 3 "Incidence" NA 15061 6 5 "1995_1996" 5
"283" 1 4 4 3 "Incidence" NA 14941 8 6 "1995_1996" 5
"284" 2 4 4 3 "Incidence" NA 14968 9 6 "1995_1996" 5
"285" 1 5 4 3 "Incidence" NA 8001 6 7 "1995_1996" 5
"286" 2 5 4 3 "Incidence" NA 10441 8 5 "1995_1996" 5
"287" 1 6 4 3 "Incidence" NA 2709 3 4 "1995_1996" 5
"288" 2 6 4 3 "Incidence" NA 5838 6 5 "1995_1996" 5
"397" 1 1 4 4 "Incidence" NA 101498 18 18 "1995_1996" 5
"398" 2 1 4 4 "Incidence" NA 95667 18 17 "1995_1996" 5
"399" 1 2 4 4 "Incidence" NA 27087 6 5 "1995_1996" 5
"400" 2 2 4 4 "Incidence" NA 24800 6 6 "1995_1996" 5
"401" 1 3 4 4 "Incidence" NA 21432 7 6 "1995_1996" 5
"402" 2 3 4 4 "Incidence" NA 20334 7 4 "1995_1996" 5
"403" 1 4 4 4 "Incidence" NA 20001 8 11 "1995_1996" 5
"404" 2 4 4 4 "Incidence" NA 21100 9 9 "1995_1996" 5
"405" 1 5 4 4 "Incidence" NA 11044 7 8 "1995_1996" 5
"406" 2 5 4 4 "Incidence" NA 14568 9 7 "1995_1996" 5
"407" 1 6 4 4 "Incidence" NA 3954 3 7 "1995_1996" 5
"408" 2 6 4 4 "Incidence" NA 8417 7 7 "1995_1996" 5
"517" 1 1 4 5 "Incidence" NA 60417 15 20 "1995_1996" 5
"518" 2 1 4 5 "Incidence" NA 56335 16 20 "1995_1996" 5
"519" 1 2 4 5 "Incidence" NA 15944 5 6 "1995_1996" 5
"520" 2 2 4 5 "Incidence" NA 14400 5 4 "1995_1996" 5
"521" 1 3 4 5 "Incidence" NA 12831 6 7 "1995_1996" 5
"522" 2 3 4 5 "Incidence" NA 12148 6 6 "1995_1996" 5
"523" 1 4 4 5 "Incidence" NA 12348 7 7 "1995_1996" 5
"524" 2 4 4 5 "Incidence" NA 12230 8 7 "1995_1996" 5
"525" 1 5 4 5 "Incidence" NA 6251 5 4 "1995_1996" 5
"526" 2 5 4 5 "Incidence" NA 8191 8 5 "1995_1996" 5
"527" 1 6 4 5 "Incidence" NA 2292 3 7 "1995_1996" 5
"528" 2 6 4 5 "Incidence" NA 4886 6 5 "1995_1996" 5
"637" 1 1 4 6 "Incidence" NA 208700 25 23 "1995_1996" 5
"638" 2 1 4 6 "Incidence" NA 202324 22 18 "1995_1996" 5
"639" 1 2 4 6 "Incidence" NA 52686 8 6 "1995_1996" 5
"640" 2 2 4 6 "Incidence" NA 54836 7 6 "1995_1996" 5
"641" 1 3 4 6 "Incidence" NA 42970 9 15 "1995_1996" 5
"642" 2 3 4 6 "Incidence" NA 45241 9 10 "1995_1996" 5
"643" 1 4 4 6 "Incidence" NA 36882 11 13 "1995_1996" 5
"644" 2 4 4 6 "Incidence" NA 43136 11 14 "1995_1996" 5
"645" 1 5 4 6 "Incidence" NA 19876 8 13 "1995_1996" 5
"646" 2 5 4 6 "Incidence" NA 31213 11 12 "1995_1996" 5
"647" 1 6 4 6 "Incidence" NA 7509 4 8 "1995_1996" 5
"648" 2 6 4 6 "Incidence" NA 18946 9 6 "1995_1996" 5
"757" 1 1 4 7 "Incidence" NA 159814 24 22 "1995_1996" 5
"758" 2 1 4 7 "Incidence" NA 156239 22 20 "1995_1996" 5
"759" 1 2 4 7 "Incidence" NA 41496 8 7 "1995_1996" 5
"760" 2 2 4 7 "Incidence" NA 40321 7 5 "1995_1996" 5
"761" 1 3 4 7 "Incidence" NA 33421 9 8 "1995_1996" 5
"762" 2 3 4 7 "Incidence" NA 31031 8 7 "1995_1996" 5
"763" 1 4 4 7 "Incidence" NA 27659 10 9 "1995_1996" 5
"764" 2 4 4 7 "Incidence" NA 28057 10 8 "1995_1996" 5
"765" 1 5 4 7 "Incidence" NA 14481 7 12 "1995_1996" 5
"766" 2 5 4 7 "Incidence" NA 19506 9 5 "1995_1996" 5
"767" 1 6 4 7 "Incidence" NA 5969 4 4 "1995_1996" 5
"768" 2 6 4 7 "Incidence" NA 11786 8 6 "1995_1996" 5
"877" 1 1 4 8 "Incidence" NA 33316 12 18 "1995_1996" 5
"878" 2 1 4 8 "Incidence" NA 29936 12 16 "1995_1996" 5
"879" 1 2 4 8 "Incidence" NA 8905 4 7 "1995_1996" 5
"880" 2 2 4 8 "Incidence" NA 7663 4 4 "1995_1996" 5
"881" 1 3 4 8 "Incidence" NA 7303 5 8 "1995_1996" 5
"882" 2 3 4 8 "Incidence" NA 6631 5 5 "1995_1996" 5
"883" 1 4 4 8 "Incidence" NA 8212 7 5 "1995_1996" 5
"884" 2 4 4 8 "Incidence" NA 8448 8 4 "1995_1996" 5
"885" 1 5 4 8 "Incidence" NA 5942 7 6 "1995_1996" 5
"886" 2 5 4 8 "Incidence" NA 7201 10 6 "1995_1996" 5
"887" 1 6 4 8 "Incidence" NA 2494 4 4 "1995_1996" 5
"888" 2 6 4 8 "Incidence" NA 4586 8 4 "1995_1996" 5
"997" 1 1 4 9 "Incidence" NA 65946 15 18 "1995_1996" 5
"998" 2 1 4 9 "Incidence" NA 63046 14 17 "1995_1996" 5
"999" 1 2 4 9 "Incidence" NA 16022 5 6 "1995_1996" 5
"1000" 2 2 4 9 "Incidence" NA 14515 4 6 "1995_1996" 5
"1001" 1 3 4 9 "Incidence" NA 13250 5 4 "1995_1996" 5
"1002" 2 3 4 9 "Incidence" NA 12745 5 4 "1995_1996" 5
"1003" 1 4 4 9 "Incidence" NA 14544 8 8 "1995_1996" 5
"1004" 2 4 4 9 "Incidence" NA 15542 8 5 "1995_1996" 5
"1005" 1 5 4 9 "Incidence" NA 10482 8 8 "1995_1996" 5
"1006" 2 5 4 9 "Incidence" NA 13348 10 4 "1995_1996" 5
"1007" 1 6 4 9 "Incidence" NA 3911 4 4 "1995_1996" 5
"1008" 2 6 4 9 "Incidence" NA 7416 8 5 "1995_1996" 5
"1117" 1 1 4 10 "Incidence" NA 36985 12 17 "1995_1996" 5
"1118" 2 1 4 10 "Incidence" NA 32803 14 18 "1995_1996" 5
"1119" 1 2 4 10 "Incidence" NA 10018 4 4 "1995_1996" 5
"1120" 2 2 4 10 "Incidence" NA 7764 4 5 "1995_1996" 5
"1121" 1 3 4 10 "Incidence" NA 7831 5 6 "1995_1996" 5
"1122" 2 3 4 10 "Incidence" NA 6566 5 5 "1995_1996" 5
"1123" 1 4 4 10 "Incidence" NA 8532 7 6 "1995_1996" 5
"1124" 2 4 4 10 "Incidence" NA 7619 8 6 "1995_1996" 5
"1125" 1 5 4 10 "Incidence" NA 5484 6 5 "1995_1996" 5
"1126" 2 5 4 10 "Incidence" NA 6392 9 7 "1995_1996" 5
"1127" 1 6 4 10 "Incidence" NA 2341 4 4 "1995_1996" 5
"1128" 2 6 4 10 "Incidence" NA 4062 8 5 "1995_1996" 5
"1237" 1 1 4 11 "Incidence" NA 148673 26 20 "1995_1996" 5
"1238" 2 1 4 11 "Incidence" NA 144564 23 18 "1995_1996" 5
"1239" 1 2 4 11 "Incidence" NA 35209 8 6 "1995_1996" 5
"1240" 2 2 4 11 "Incidence" NA 37950 8 6 "1995_1996" 5
